date,price_usd,market_cap_usd,volume_usd,n_transactions,n_active_addresses,hash_rate_ths,miners_revenue_usd,mempool_bytes,onchain_volume_usd
2025-09-16,115356.68489564986,2298376374765.022,46807932859.599625,536633.0,546260.0,1082012601.5468137,59237319.60654769,220566.5,11014563418.224216
2025-09-17,116797.00205991932,2326252111015.0996,40115655622.62766,362913.0,517428.0,865610081.2374508,58799712.10291436,3257175.5,12962249455.147718
2025-09-18,116430.93170207892,2319862263301.09,55078099557.69372,448521.0,536964.0,1087599379.1411881,60565164.56275341,1374775.0,13510976822.137205
2025-09-19,117169.11793707692,2334155270381.6797,43746882355.192566,478312.0,553195.0,1188749380.7897809,65203654.13159877,204069.0,11918810025.118149
2025-09-20,115656.94582205842,2304334969247.6016,34101993633.45404,498549.0,535837.0,1082611043.2192645,56549857.186625816,10743006.0,6506869820.089035
2025-09-21,115722.89635080755,2305458544032.0454,18387970280.886112,513490.0,467555.0,1146294045.7615743,59677110.55222099,685321.5,3521336291.7833223
2025-09-22,115255.84820116172,2296544311374.14,18831181465.700207,456797.0,515742.0,1061383375.7051616,54197851.96025491,366936.0,15430507426.449467
2025-09-23,112692.49699542264,2245276233641.6846,69429706182.08765,495947.0,506650.0,1018928040.676955,51049596.047497146,979863.5,13380103763.332317
2025-09-24,112002.46136592983,2232047791436.3643,46102035931.6177,522936.0,502339.0,1082611043.2192645,55101523.83746149,474211.0,11030120453.67821
2025-09-25,113317.1626894919,2257709115962.068,46524713093.00272,431725.0,542099.0,997700373.1628518,50173577.36223641,2459285.0,14251956295.883837
2025-09-26,109233.05041611978,2174880943300.0088,74632502319.236,419078.0,553168.0,934017370.6205422,49131500.76535409,1232742.5,16962966523.57071
2025-09-27,109660.37389675,2186075315820.048,55614979705.47469,526116.0,484214.0,1096762821.5620003,57571424.46552212,1223424.0,5814233429.462753
2025-09-28,109675.14319507511,2185277342378.6892,23211636962.190052,635424.0,458537.0,1167521713.2756777,57694137.5158762,142926.0,4533682940.126207
2025-09-29,112179.39882976888,2235609066822.1436,31224411359.38822,444460.0,521335.0,990624483.9914839,52005476.55065172,1430121.5,12421806232.98834
2025-09-30,114327.17133804818,2277867378927.1157,58127995123.524475,555361.0,561370.0,1139218156.5902066,59806339.233965605,515303.5,18752461459.12848
